id,estado,estacao,data,precipitacao,temp_max,temp_min,insolacao,evaporacao_piche,temp_comp_med,umidade_rel_med,vel_vento_med,altitude
251790,AC,88948,15/06/2019,0.0,34.3,21.9,8.4,2.1,25.4,86.75,1.0,160.0
251791,AC,88948,16/06/2019,2.8,34.5,22.7,7.1,1.8,26.08,81.75,1.333333,160.0
251792,AC,88948,17/06/2019,0.0,32.4,22.0,7.8,2.0,25.98,87.0,1.0,160.0
251793,AC,88948,18/06/2019,0.0,33.9,21.4,8.1,1.5,25.8,84.25,0.333333,160.0
251794,AC,88948,19/06/2019,0.0,34.2,20.5,7.4,1.6,25.74,81.5,0.0,160.0
251795,AC,88948,20/06/2019,0.0,33.4,20.5,8.0,1.7,25.22,81.0,1.666667,160.0
251796,AC,88948,21/06/2019,0.0,30.7,18.9,5.3,2.1,24.04,88.0,1.333333,160.0
251797,AC,88948,22/06/2019,0.0,31.8,19.3,7.3,1.4,24.52,84.0,1.0,160.0
251798,AC,88948,23/06/2019,0.0,33.1,20.5,8.3,1.5,25.62,83.25,0.333333,160.0
251799,AC,88948,24/06/2019,0.0,33.5,21.0,8.5,1.9,25.9,83.0,0.333333,160.0
251800,AC,88948,25/06/2019,0.0,32.4,21.6,8.9,2.0,26.26,82.0,0.666667,160.0
251801,AC,88948,26/06/2019,0.0,33.1,22.9,5.6,2.0,26.78,83.25,0.666667,160.0
251802,AC,88948,27/06/2019,0.6,31.5,21.9,5.9,0.7,25.06,93.25,1.0,160.0
251803,AC,88948,28/06/2019,23.8,32.8,22.1,4.7,2.2,26.12,87.0,0.333333,160.0
251804,AC,88948,29/06/2019,0.0,34.3,21.7,8.8,1.1,26.44,83.5,0.333333,160.0
251805,AC,88948,30/06/2019,0.0,35.1,22.1,9.0,1.8,27.24,81.0,0.333333,160.0
251806,AC,88948,01/07/2019,0.0,35.5,22.0,8.5,0.6,25.86,83.75,0.666667,160.0
251807,AC,88948,02/07/2019,13.2,33.9,21.3,8.8,2.3,26.12,81.0,0.333333,160.0
251808,AC,88948,03/07/2019,0.0,33.4,21.7,9.4,2.3,26.3,79.5,0.666667,160.0
251809,AC,88948,04/07/2019,0.0,33.5,22.0,9.1,2.5,26.64,81.5,0.666667,160.0
251810,AC,88948,05/07/2019,0.0,32.8,22.3,4.0,2.2,24.96,87.0,3.0,160.0
251811,AC,88948,06/07/2019,28.2,22.8,14.6,0.2,1.6,17.6,79.75,3.0,160.0
251812,AC,88948,07/07/2019,0.0,26.6,14.4,7.4,1.6,19.6,79.0,2.0,160.0
251813,AC,88948,08/07/2019,0.0,30.4,15.1,9.8,2.4,21.36,82.75,0.666667,160.0
251814,AC,88948,09/07/2019,0.0,33.5,15.4,9.7,2.2,23.64,80.75,0.333333,160.0
251815,AC,88948,10/07/2019,0.0,33.6,18.2,9.2,2.1,24.7,90.0,0.0,160.0
251816,AC,88948,11/07/2019,0.0,34.3,19.7,9.0,2.2,25.3,91.0,0.0,160.0
251817,AC,88948,12/07/2019,0.0,32.3,20.2,6.5,2.1,25.14,90.0,0.0,160.0
251818,AC,88948,13/07/2019,1.0,33.0,20.8,4.7,1.4,25.7,94.0,0.0,160.0
251819,AC,88948,14/07/2019,0.0,34.1,20.9,8.7,1.5,25.74,91.0,0.0,160.0
251820,AC,88948,15/07/2019,0.0,34.9,21.0,9.3,2.0,25.54,95.0,0.0,160.0
251821,AC,88948,16/07/2019,10.8,32.3,21.3,7.9,2.1,24.34,96.0,0.5,160.0
251822,AC,88948,17/07/2019,8.6,29.6,21.0,4.6,1.8,24.62,92.0,1.0,160.0
251823,AC,88948,18/07/2019,0.0,33.3,20.0,9.6,1.2,25.26,89.0,0.0,160.0
251824,AC,88948,19/07/2019,0.0,33.9,20.7,7.3,1.7,24.82,96.0,0.0,160.0
251825,AC,88948,20/07/2019,6.0,32.8,21.1,5.6,1.6,25.46,95.0,0.0,160.0
251826,AC,88948,21/07/2019,0.0,33.7,21.3,9.1,1.3,26.22,91.0,0.0,160.0
251827,AC,88948,22/07/2019,0.0,33.9,21.8,10.0,2.0,26.54,89.0,0.0,160.0
251828,AC,88948,23/07/2019,0.0,34.1,21.5,4.4,2.3,26.02,89.0,0.5,160.0
251829,AC,88948,24/07/2019,0.0,32.4,22.2,3.9,2.1,25.2,96.0,0.0,160.0
251830,AC,88948,25/07/2019,27.2,24.0,16.5,3.6,1.2,18.9,89.0,3.5,160.0
251831,AC,88948,26/07/2019,0.0,27.0,14.0,7.5,1.4,19.94,90.0,1.0,160.0
251832,AC,88948,27/07/2019,0.0,28.8,14.4,9.6,2.1,20.92,88.0,1.5,160.0
251833,AC,88948,28/07/2019,0.0,30.8,15.7,9.4,2.4,21.92,91.0,1.5,160.0
251834,AC,88948,29/07/2019,0.0,33.9,16.7,9.0,2.5,23.58,90.0,0.0,160.0
251835,AC,88948,30/07/2019,0.0,34.3,17.4,9.4,2.2,24.26,76.25,0.333333,160.0
251836,AC,88948,31/07/2019,0.0,34.9,18.0,9.4,3.2,24.48,73.0,0.333333,160.0
251837,AC,88948,01/08/2019,0.0,36.1,18.2,9.1,,24.82,73.5,0.34296,160.0
251838,AC,88948,02/08/2019,0.0,35.9,19.2,8.3,,25.58,72.75,0.34296,160.0
251839,AC,88948,03/08/2019,0.0,26.4,15.4,9.3,,18.9,71.75,3.77256,160.0
251840,AC,88948,04/08/2019,0.0,27.6,11.1,9.1,,17.16,77.5,3.08664,160.0
251841,AC,88948,05/08/2019,0.0,29.8,9.3,9.6,,17.44,68.0,1.7148,160.0
251842,AC,88948,06/08/2019,0.0,32.1,10.5,8.3,,19.6,75.75,0.34296,160.0
251843,AC,88948,07/08/2019,0.0,34.4,11.8,8.5,,22.24,72.5,1.02888,160.0
251844,AC,88948,08/08/2019,0.0,36.2,15.6,7.8,,24.7,72.75,0.68592,160.0
251845,AC,88948,09/08/2019,0.0,35.7,18.3,7.7,,25.86,80.5,1.02888,160.0
251846,AC,88948,10/08/2019,4.7,35.5,20.7,8.2,,26.22,73.5,0.34296,160.0
251847,AC,88948,11/08/2019,0.0,34.5,21.2,8.7,,26.0,76.5,1.37184,160.0
251848,AC,88948,12/08/2019,0.0,36.5,19.8,8.2,,26.04,73.0,0.34296,160.0
251849,AC,88948,13/08/2019,0.0,36.1,20.2,8.6,,26.88,70.25,1.02888,160.0
251850,AC,88948,14/08/2019,0.0,30.2,19.0,9.1,,22.6,54.75,2.40072,160.0
251851,AC,88948,15/08/2019,0.0,33.3,14.5,9.6,,22.16,67.5,0.68592,160.0
251852,AC,88948,16/08/2019,0.0,34.7,15.2,8.5,,23.38,67.5,0.34296,160.0
251853,AC,88948,17/08/2019,0.0,35.7,16.8,8.3,,25.36,70.75,1.02888,160.0
251854,AC,88948,18/08/2019,0.0,36.5,18.4,8.9,,27.12,71.0,0.34296,160.0
251855,AC,88948,19/08/2019,0.0,34.9,21.6,4.0,,27.14,74.0,2.05776,160.0
251856,AC,88948,20/08/2019,0.0,34.7,22.3,6.6,,26.08,82.5,0.68592,160.0
251857,AC,88948,21/08/2019,0.5,32.6,20.9,6.9,,25.48,71.75,1.37184,160.0
251858,AC,88948,22/08/2019,0.0,35.9,20.1,8.2,,26.3,75.25,0.68592,160.0
251859,AC,88948,23/08/2019,0.0,36.1,20.5,7.7,,27.14,72.0,1.37184,160.0
251860,AC,88948,24/08/2019,0.0,35.9,20.7,8.2,,26.38,73.5,0.68592,160.0
251861,AC,88948,25/08/2019,0.0,36.9,20.9,7.5,,27.12,69.5,1.37184,160.0
251862,AC,88948,26/08/2019,4.8,30.2,22.6,3.9,,25.18,85.0,0.68592,160.0
251863,AC,88948,27/08/2019,0.0,35.1,21.9,8.4,,26.92,72.25,1.7148,160.0
251864,AC,88948,28/08/2019,0.0,35.5,21.5,7.4,,26.76,75.0,0.68592,160.0
251865,AC,88948,29/08/2019,0.0,36.7,21.7,8.9,,27.78,71.25,0.34296,160.0
251866,AC,88948,30/08/2019,0.0,36.5,21.9,7.9,,27.74,77.0,1.37184,160.0
251867,AC,88948,31/08/2019,0.0,36.7,21.9,8.8,,27.62,69.5,0.34296,160.0
251868,AC,88948,01/09/2019,0.0,37.9,21.7,8.2,,28.36,67.0,0.68592,160.0
251869,AC,88948,02/09/2019,0.0,34.9,23.0,7.7,,28.24,71.25,1.02888,160.0
251870,AC,88948,03/09/2019,0.0,36.3,24.0,6.0,,26.86,76.0,2.05776,160.0
251871,AC,88948,04/09/2019,0.0,36.1,21.7,7.2,,25.5,80.75,0.68592,160.0
251872,AC,88948,05/09/2019,22.8,34.6,22.3,5.1,,25.76,81.25,1.37184,160.0
251873,AC,88948,06/09/2019,0.0,35.7,,7.7,,,75.0,0.51444,160.0
251874,AC,88948,07/09/2019,0.0,37.0,22.8,7.4,,26.52,81.75,0.68592,160.0
251875,AC,88948,08/09/2019,8.2,37.5,22.6,8.5,,28.04,75.75,1.37184,160.0
251876,AC,88948,09/09/2019,0.0,36.1,22.4,8.1,,27.58,72.25,1.02888,160.0
251877,AC,88948,10/09/2019,0.0,34.7,22.5,6.7,,26.7,81.75,1.37184,160.0
251878,AC,88948,11/09/2019,1.2,35.5,23.4,5.8,,27.08,76.0,1.7148,160.0
251879,AC,88948,12/09/2019,0.0,35.5,22.6,6.6,,26.84,75.5,1.02888,160.0
251880,AC,88948,13/09/2019,0.0,32.2,22.7,5.8,,26.24,71.0,2.05776,160.0
251881,AC,88948,14/09/2019,0.0,36.7,22.7,9.4,,28.34,67.75,0.68592,160.0
251882,AC,88948,15/09/2019,0.0,37.7,20.5,8.7,,28.38,69.0,1.02888,160.0
251883,AC,88948,16/09/2019,0.0,37.7,23.3,7.5,,28.42,71.75,0.68592,160.0
251884,AC,88948,17/09/2019,6.0,36.7,23.5,6.0,,27.16,84.25,1.7148,160.0
251885,AC,88948,18/09/2019,0.0,36.2,22.5,8.4,,28.38,75.75,1.37184,160.0
251886,AC,88948,19/09/2019,0.0,36.6,23.2,8.4,,28.58,70.25,1.7148,160.0
251887,AC,88948,20/09/2019,0.0,36.7,23.9,7.3,,27.92,82.0,0.34296,160.0
251888,AC,88948,21/09/2019,0.8,34.7,24.5,6.9,,26.7,86.25,0.68592,160.0
251889,AC,88948,22/09/2019,16.8,30.1,23.4,1.5,,25.72,86.5,2.05776,160.0
251890,AC,88948,23/09/2019,0.0,34.6,23.1,7.9,,27.14,72.0,1.7148,160.0
251891,AC,88948,24/09/2019,0.0,36.5,21.3,7.9,,27.64,71.25,0.34296,160.0
251892,AC,88948,25/09/2019,0.0,37.9,22.2,8.8,,28.44,71.75,0.68592,160.0
251893,AC,88948,26/09/2019,0.0,29.2,23.3,0.5,,24.34,93.25,1.37184,160.0
251894,AC,88948,27/09/2019,14.3,33.3,19.6,7.6,,25.42,78.75,1.37184,160.0
251895,AC,88948,28/09/2019,0.0,35.7,20.5,9.5,,27.26,75.75,0.34296,160.0
251896,AC,88948,29/09/2019,0.0,36.5,22.9,7.6,,27.26,83.5,0.68592,160.0
251897,AC,88948,30/09/2019,19.6,33.5,23.9,4.7,,26.0,87.75,1.7148,160.0
251898,AC,88948,01/10/2019,22.4,30.6,22.3,3.1,,25.5,86.75,0.34296,160.0
251899,AC,88948,02/10/2019,0.0,34.9,22.8,7.2,,26.68,76.0,1.37184,160.0
251900,AC,88948,03/10/2019,0.0,35.5,22.1,6.9,,27.04,77.75,0.34296,160.0
251901,AC,88948,04/10/2019,0.1,33.6,23.2,4.9,,25.58,84.75,1.7148,160.0
251902,AC,88948,05/10/2019,18.6,30.3,22.6,2.5,,25.3,89.0,2.05776,160.0
251903,AC,88948,06/10/2019,6.6,31.0,22.6,5.8,,24.3,90.25,2.40072,160.0
251904,AC,88948,07/10/2019,5.3,24.0,18.8,0.0,,21.16,87.25,3.08664,160.0
251905,AC,88948,08/10/2019,0.0,33.5,19.4,8.3,,25.12,79.0,1.37184,160.0
251906,AC,88948,09/10/2019,0.0,35.5,20.2,9.5,,27.1,74.5,2.05776,160.0
251907,AC,88948,10/10/2019,0.0,34.1,23.2,5.2,,25.68,87.75,2.40072,160.0
251908,AC,88948,11/10/2019,7.0,32.0,22.7,2.5,,25.56,88.25,0.0,160.0
251909,AC,88948,12/10/2019,0.0,32.2,22.5,2.7,,25.32,91.0,0.0,160.0
251910,AC,88948,13/10/2019,2.4,34.1,22.0,6.1,,27.44,79.0,0.68592,160.0
251911,AC,88948,14/10/2019,0.0,33.9,22.3,4.7,,26.24,79.5,2.74368,160.0
251912,AC,88948,15/10/2019,0.3,32.0,23.5,2.6,,26.54,85.0,0.68592,160.0
251913,AC,88948,16/10/2019,0.0,30.8,23.3,0.4,,24.78,92.5,0.68592,160.0
251914,AC,88948,17/10/2019,52.2,32.0,21.9,5.2,,25.88,88.5,1.02888,160.0
251915,AC,88948,18/10/2019,13.8,32.3,22.5,5.2,,26.14,89.25,0.34296,160.0
251916,AC,88948,19/10/2019,20.4,34.1,22.3,3.1,,26.7,82.75,1.02888,160.0
251917,AC,88948,20/10/2019,27.8,30.1,22.6,3.0,,24.96,91.25,0.68592,160.0
251918,AC,88948,21/10/2019,3.2,31.4,22.4,4.2,,25.58,84.5,0.34296,160.0
251919,AC,88948,22/10/2019,0.6,33.7,23.4,6.4,,26.96,82.25,0.68592,160.0
251920,AC,88948,23/10/2019,0.8,34.5,23.0,5.1,,26.28,85.75,1.37184,160.0
251921,AC,88948,24/10/2019,8.8,33.3,23.2,6.9,,25.84,87.75,1.7148,160.0
251922,AC,88948,25/10/2019,14.8,34.7,23.3,8.2,,27.72,82.25,0.68592,160.0
251923,AC,88948,26/10/2019,0.0,34.3,23.7,7.1,,26.84,86.0,1.7148,160.0
251924,AC,88948,27/10/2019,36.0,33.3,23.1,7.1,,27.0,81.0,1.02888,160.0
251925,AC,88948,28/10/2019,0.0,33.3,23.5,7.0,,27.02,84.75,0.34296,160.0
251926,AC,88948,29/10/2019,0.0,34.3,23.9,6.4,,27.76,80.0,1.37184,160.0
251927,AC,88948,30/10/2019,0.0,34.7,23.2,9.5,,27.28,77.75,2.40072,160.0
251928,AC,88948,31/10/2019,0.0,35.3,24.1,8.6,,28.28,80.0,1.02888,160.0
251929,AC,88948,01/11/2019,27.8,28.4,19.9,0.9,,23.54,96.5,2.05776,160.0
251930,AC,88948,02/11/2019,18.3,31.5,21.9,4.2,,25.68,83.25,1.02888,160.0
251931,AC,88948,03/11/2019,0.0,32.1,22.7,1.8,,25.64,85.5,2.40072,160.0
251932,AC,88948,04/11/2019,1.5,34.1,23.3,5.9,,27.72,77.5,0.34296,160.0
251933,AC,88948,05/11/2019,0.2,,23.3,,,,,1.02888,160.0
251934,AC,88948,06/11/2019,0.0,34.4,23.3,4.1,,26.84,88.75,1.37184,160.0
251935,AC,88948,07/11/2019,4.4,32.6,23.9,3.7,,26.76,82.75,1.37184,160.0
251936,AC,88948,08/11/2019,0.0,32.8,23.7,3.7,,26.88,85.5,1.02888,160.0
251937,AC,88948,09/11/2019,0.2,35.3,24.1,7.3,,28.3,81.25,0.34296,160.0
251938,AC,88948,10/11/2019,0.0,31.4,24.7,1.8,,27.28,89.25,0.34296,160.0
251939,AC,88948,11/11/2019,35.4,29.4,22.5,2.5,,25.14,88.25,1.02888,160.0
251940,AC,88948,12/11/2019,0.4,33.0,22.4,7.0,,26.12,87.75,1.02888,160.0
251941,AC,88948,13/11/2019,0.0,32.4,23.8,6.0,,26.52,84.25,1.7148,160.0
251942,AC,88948,14/11/2019,0.0,33.0,23.3,7.1,,26.96,81.0,1.02888,160.0
251943,AC,88948,15/11/2019,0.0,27.0,24.2,0.0,,24.3,98.5,1.02888,160.0
251944,AC,88948,16/11/2019,124.8,29.4,23.8,0.6,,24.84,92.5,1.02888,160.0
251945,AC,88948,17/11/2019,16.5,34.1,22.0,9.1,,26.74,84.5,0.34296,160.0
251946,AC,88948,18/11/2019,0.0,31.6,23.2,3.4,,26.32,87.25,1.02888,160.0
251947,AC,88948,19/11/2019,0.5,33.9,24.2,6.1,,27.0,82.75,1.37184,160.0
251948,AC,88948,20/11/2019,0.4,26.6,23.7,0.3,,24.48,97.5,0.34296,160.0
251949,AC,88948,21/11/2019,17.2,32.4,21.9,7.3,,26.6,81.75,0.68592,160.0
251950,AC,88948,22/11/2019,0.6,33.3,22.9,6.2,,27.06,82.25,0.0,160.0
251951,AC,88948,23/11/2019,0.0,28.6,23.7,0.7,,24.8,98.5,1.02888,160.0
251952,AC,88948,24/11/2019,42.6,32.6,22.3,7.4,,26.32,85.25,0.34296,160.0
251953,AC,88948,25/11/2019,0.0,34.1,23.3,9.5,,27.44,82.75,0.68592,160.0
251954,AC,88948,26/11/2019,1.4,35.7,24.6,9.1,,29.04,78.75,2.05776,160.0
251955,AC,88948,27/11/2019,0.0,35.6,23.9,9.6,,28.62,77.25,1.37184,160.0
251956,AC,88948,28/11/2019,1.2,29.2,24.7,0.0,,24.78,96.5,2.40072,160.0
251957,AC,88948,29/11/2019,83.8,33.0,22.5,2.4,,26.12,89.5,1.20036,160.0
251958,AC,88948,30/11/2019,1.6,33.6,23.3,4.9,,27.48,83.0,1.02888,160.0
251959,AC,88948,01/12/2019,2.4,35.5,24.4,4.4,,26.7,91.5,1.02888,160.0
251960,AC,88948,02/12/2019,79.6,30.2,24.2,5.0,,24.86,93.75,0.68592,160.0
251961,AC,88948,03/12/2019,55.1,32.4,22.6,5.6,,26.2,84.0,1.37184,160.0
251962,AC,88948,04/12/2019,0.0,32.1,23.1,1.6,,26.6,83.75,1.37184,160.0
251963,AC,88948,05/12/2019,0.0,34.3,23.7,7.0,,27.72,77.5,0.34296,160.0
251964,AC,88948,06/12/2019,0.0,30.6,23.7,1.0,,25.5,86.75,0.34296,160.0
251965,AC,88948,07/12/2019,0.8,33.1,22.7,3.5,,26.16,87.75,0.34296,160.0
251966,AC,88948,08/12/2019,9.4,33.5,23.1,8.4,,27.62,76.5,0.34296,160.0
251967,AC,88948,09/12/2019,1.4,32.3,23.2,5.8,,26.88,86.75,1.37184,160.0
251968,AC,88948,10/12/2019,0.0,31.6,24.5,3.1,,25.84,96.25,1.7148,160.0
251969,AC,88948,11/12/2019,27.5,30.4,23.1,1.2,,25.06,88.25,1.7148,160.0
251970,AC,88948,12/12/2019,9.6,32.2,22.9,5.5,,26.28,87.75,1.7148,160.0
251971,AC,88948,13/12/2019,48.0,26.5,22.1,0.0,,23.92,98.5,0.68592,160.0
251972,AC,88948,14/12/2019,9.2,32.8,22.4,5.6,,26.4,86.25,0.68592,160.0
251973,AC,88948,15/12/2019,0.2,31.7,23.4,3.3,,26.1,91.5,1.37184,160.0
251974,AC,88948,16/12/2019,17.8,30.4,23.7,1.8,,26.08,89.75,1.37184,160.0
251975,AC,88948,17/12/2019,0.8,31.0,23.9,4.2,,26.42,93.5,0.34296,160.0
251976,AC,88948,18/12/2019,7.7,28.6,23.8,0.0,,28.5,77.5,2.05776,160.0
251977,AC,88948,19/12/2019,26.8,29.6,22.8,1.8,,25.06,92.75,0.68592,160.0
251978,AC,88948,20/12/2019,2.8,32.6,23.1,4.9,,26.64,85.0,1.37184,160.0
251979,AC,88948,21/12/2019,0.0,34.3,23.7,6.8,,27.82,80.75,1.02888,160.0
251980,AC,88948,22/12/2019,0.0,32.6,24.7,3.7,,25.86,88.75,0.34296,160.0
251981,AC,88948,23/12/2019,80.0,32.3,22.6,4.9,,26.46,91.25,0.34296,160.0
251982,AC,88948,24/12/2019,0.6,31.8,23.0,2.3,,25.78,92.0,0.34296,160.0
251983,AC,88948,25/12/2019,23.2,34.1,23.2,9.8,,27.38,83.25,1.7148,160.0
251984,AC,88948,26/12/2019,0.0,32.0,24.0,2.8,,27.34,87.0,0.68592,160.0
251985,AC,88948,27/12/2019,0.0,33.3,24.5,4.3,,27.42,87.0,1.02888,160.0
251986,AC,88948,28/12/2019,0.0,33.6,24.6,3.3,,26.76,86.75,1.37184,160.0
251987,AC,88948,29/12/2019,15.0,31.2,23.8,3.5,,26.14,89.0,2.05776,160.0
251988,AC,88948,30/12/2019,4.7,32.2,23.0,3.3,,26.48,89.75,0.68592,160.0
251989,AC,88948,31/12/2019,2.4,32.6,23.1,6.6,,26.58,89.0,1.54332,160.0
251990,AC,22864,28/05/2019,0.0,33.2,21.4,,3.0,26.6,83.0,0.333333,190.0
251991,AC,22864,29/05/2019,1.0,34.0,23.2,,3.0,27.88,79.0,0.333333,190.0
251992,AC,22864,30/05/2019,0.0,34.2,23.8,,,26.92,85.5,0.333333,190.0
251993,AC,22864,31/05/2019,1.2,33.0,22.6,,2.5,26.52,83.5,1.0,190.0
251994,AC,22864,01/06/2019,0.0,33.4,22.8,,3.5,27.28,83.25,0.333333,190.0
251995,AC,22864,02/06/2019,3.6,31.6,23.4,,2.5,26.52,90.25,0.333333,190.0
251996,AC,22864,03/06/2019,7.0,32.8,23.6,,2.0,26.52,83.5,0.666667,190.0
251997,AC,22864,04/06/2019,1.0,25.8,22.0,,2.5,23.12,90.25,1.0,190.0
251998,AC,22864,05/06/2019,0.0,30.6,19.9,,2.1,25.12,79.25,0.333333,190.0
251999,AC,22864,06/06/2019,0.0,32.0,19.7,,1.9,25.72,78.25,0.333333,190.0
252000,AC,22864,07/06/2019,0.0,30.6,20.3,,2.5,25.78,80.75,0.333333,190.0
252001,AC,22864,08/06/2019,0.0,32.0,22.4,,2.3,25.56,88.5,0.333333,190.0
252002,AC,22864,09/06/2019,50.4,30.0,23.2,,1.5,26.16,87.5,0.666667,190.0
252003,AC,22864,10/06/2019,1.0,31.8,22.4,,2.2,26.92,80.0,0.333333,190.0
252004,AC,22864,11/06/2019,0.0,33.4,22.4,,2.0,27.52,78.75,0.333333,190.0
252005,AC,22864,12/06/2019,0.0,33.2,21.8,,3.0,27.32,76.0,0.666667,190.0
252006,AC,22864,13/06/2019,0.0,33.6,22.2,,2.7,27.0,83.5,0.333333,190.0
252007,AC,22864,14/06/2019,1.2,33.0,22.6,,2.3,27.64,78.75,0.333333,190.0
252008,AC,22864,15/06/2019,0.0,31.4,22.6,,4.0,25.88,84.25,0.666667,190.0
252009,AC,22864,16/06/2019,13.8,32.8,22.8,,2.7,25.64,93.0,0.333333,190.0
252010,AC,22864,17/06/2019,3.8,31.4,23.0,,2.8,25.92,84.75,0.333333,190.0
252011,AC,22864,18/06/2019,0.0,32.4,22.0,,2.0,26.52,83.75,0.333333,190.0
252012,AC,22864,19/06/2019,0.0,33.0,21.4,,2.5,26.52,83.0,0.333333,190.0
252013,AC,22864,20/06/2019,0.0,33.2,21.6,,3.0,26.36,83.5,0.333333,190.0
252014,AC,22864,21/06/2019,0.0,31.4,21.4,,3.0,25.36,86.0,0.333333,190.0
252015,AC,22864,22/06/2019,0.0,32.2,20.9,,2.5,25.82,84.0,0.666667,190.0
252016,AC,22864,23/06/2019,0.0,32.2,20.9,,2.5,25.86,82.75,0.666667,190.0
252017,AC,22864,24/06/2019,0.0,32.2,22.8,,3.5,26.16,84.0,0.333333,190.0
252018,AC,22864,25/06/2019,0.0,32.0,22.0,,3.0,26.32,82.5,0.333333,190.0
252019,AC,22864,26/06/2019,0.0,33.4,21.6,,3.0,26.48,84.25,0.333333,190.0
252020,AC,22864,27/06/2019,2.4,30.6,22.6,,4.8,26.16,86.0,0.333333,190.0
252021,AC,22864,28/06/2019,0.0,31.0,22.6,,4.0,26.16,85.25,0.333333,190.0
252022,AC,22864,29/06/2019,0.0,31.0,22.2,,3.5,24.56,94.25,0.666667,190.0
252023,AC,22864,30/06/2019,21.6,33.8,20.5,,3.0,26.04,82.75,0.333333,190.0
252024,AC,22864,01/07/2019,0.0,33.2,21.8,,,26.6,82.0,0.34296,190.0
252025,AC,22864,02/07/2019,0.0,32.8,22.0,,,25.96,84.5,0.34296,190.0
252026,AC,22864,03/07/2019,6.8,32.4,21.2,,,26.52,77.25,0.34296,190.0
252027,AC,22864,04/07/2019,0.0,32.6,21.4,,,26.68,79.75,0.68592,190.0
252028,AC,22864,05/07/2019,0.0,32.6,22.0,,,26.88,81.75,0.68592,190.0
252029,AC,22864,06/07/2019,8.2,28.0,20.3,,,20.56,91.25,2.40072,190.0
252030,AC,22864,07/07/2019,0.0,27.8,16.5,,,21.6,81.0,1.7148,190.0
252031,AC,22864,08/07/2019,0.0,29.6,17.3,,,23.8,77.75,0.68592,190.0
252032,AC,22864,09/07/2019,0.0,32.4,18.7,,,25.08,78.75,0.34296,190.0
252033,AC,22864,10/07/2019,0.0,33.8,19.7,,,25.96,80.5,0.34296,190.0
252034,AC,22864,11/07/2019,0.0,32.8,20.5,,,25.8,81.5,0.68592,190.0
252035,AC,22864,12/07/2019,0.0,32.4,21.4,,,26.12,81.5,0.34296,190.0
252036,AC,22864,13/07/2019,0.0,32.6,22.4,,,26.0,80.25,1.02888,190.0
252037,AC,22864,14/07/2019,0.0,33.0,22.0,,,25.84,85.0,0.68592,190.0
252038,AC,22864,15/07/2019,0.0,34.2,22.0,,,26.72,81.0,0.34296,190.0
252039,AC,22864,16/07/2019,0.0,32.6,22.6,,,25.28,86.75,0.68592,190.0
252040,AC,22864,17/07/2019,2.8,28.6,22.4,,,24.6,85.75,0.68592,190.0
252041,AC,22864,18/07/2019,0.0,32.4,20.3,,,25.64,80.75,0.34296,190.0
252042,AC,22864,19/07/2019,0.0,33.8,21.2,,,26.36,81.25,0.34296,190.0
252043,AC,22864,20/07/2019,4.0,33.6,21.6,,,25.88,84.75,0.34296,190.0
